icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
880453,AIQ4124 ,Thailand,1739497722.0,1739497723,99.4517,10.6548,9745.98,False,248.69,208.95,-0.33,,10416.54,,False,0,2025-02-13 20:48:50
880452,AIQ646  ,Thailand,1739497723.0,1739497723,102.9988,13.3917,10066.02,False,242.37,91.34,3.9,,10744.2,,False,0,2025-02-13 20:48:50
80162e,AIC2832 ,India,1739497723.0,1739497723,79.6949,14.3497,8839.2,False,225.41,336.89,13.33,,9326.88,,False,0,2025-02-13 20:48:50
880451,AIQ656  ,Thailand,1739497570.0,1739497620,103.801,12.2777,10058.4,False,231.74,117.93,0.33,,10744.2,,False,0,2025-02-13 20:48:50
aaf633,UAL1925 ,United States,1739497669.0,1739497721,-101.1077,40.5388,10660.38,False,260.93,76.9,-0.33,,10668.0,7343.0,False,0,2025-02-13 20:48:50
880458,AIQ509  ,Thailand,1739497634.0,1739497634,113.9181,22.3115,,True,0.0,250.31,,,,,False,0,2025-02-13 20:48:50
880455,AIQ251  ,Thailand,1739497724.0,1739497724,96.2494,17.0887,1828.8,False,117.86,213.07,0.0,,4206.24,704.0,False,0,2025-02-13 20:48:50
e49405,GLO2004 ,Brazil,1739497724.0,1739497724,-47.8514,-16.2388,10972.8,False,236.73,320.29,0.0,,11673.84,,False,0,2025-02-13 20:48:50
aa56d8,UAL1086 ,United States,1739497724.0,1739497724,-106.4114,35.5418,7612.38,False,222.12,61.65,0.0,,7772.4,,False,0,2025-02-13 20:48:50
8744f6,ANA249  ,Japan,1739497722.0,1739497723,139.8039,35.5245,,True,0.0,50.62,,,,4716.0,False,0,2025-02-13 20:48:50
aa56d4,UAL2071 ,United States,1739497724.0,1739497724,-83.7701,38.2177,11887.2,False,301.83,87.17,0.0,,11925.3,7730.0,False,0,2025-02-13 20:48:50
a90ea8,DAL1588 ,United States,1739497724.0,1739497724,-82.1443,26.3324,8587.74,False,211.0,106.14,-11.05,,9083.04,2572.0,False,0,2025-02-13 20:48:50
80163d,IGO1601 ,India,1739497487.0,1739497507,75.1227,16.4065,8580.12,False,251.64,129.03,0.0,,10622.28,315.0,False,0,2025-02-13 20:48:50
880450,AIQ3523 ,Thailand,1739497724.0,1739497724,101.6185,14.6781,7444.74,False,202.29,244.87,-17.56,,7985.76,,False,0,2025-02-13 20:48:50
ad4f0b,DAL1490 ,United States,1739497724.0,1739497724,-85.2738,34.4069,6156.96,False,242.68,136.12,-13.33,,6355.08,5666.0,False,0,2025-02-13 20:48:50
a0e279,N156WM  ,United States,1739497723.0,1739497723,-80.188,25.6366,274.32,False,79.6,26.9,-2.93,,342.9,4673.0,False,0,2025-02-13 20:48:50
3c404c,,Germany,1739497410.0,1739497410,13.5171,52.3709,,True,4.89,132.19,,,,,False,0,2025-02-13 20:48:50
a7b07c,FDX1388 ,United States,1739497714.0,1739497719,-122.2185,37.7166,,True,0.0,140.62,,,,,False,0,2025-02-13 20:48:50
7c6b1c,JST943  ,Australia,1739497645.0,1739497648,146.3341,-33.1897,11277.6,False,260.68,150.96,0.0,,11833.86,,False,0,2025-02-13 20:48:50
4b1801,SWR     ,Switzerland,1739497716.0,1739497721,8.5599,47.4466,388.62,True,0.0,244.69,,,,2000.0,False,0,2025-02-13 20:48:50
7c6b1b,JST765  ,Australia,1739497724.0,1739497724,138.4204,-35.0457,1584.96,False,133.01,176.23,18.53,,1584.96,,False,0,2025-02-13 20:48:50
a52bd9,N432PH  ,United States,1739497718.0,1739497718,-96.9144,32.451,137.16,False,23.75,4.97,-1.3,,259.08,,False,0,2025-02-13 20:48:50
acdfa6,AAL2802 ,United States,1739497724.0,1739497724,-81.0398,34.9029,1440.18,False,110.62,161.57,0.0,,1516.38,2675.0,False,0,2025-02-13 20:48:50
a3f2c6,N3533U  ,United States,1739497723.0,1739497723,-88.256,41.7723,548.64,False,29.86,268.03,-0.65,,647.7,,False,0,2025-02-13 20:48:50
aa9f3f,SWA1444 ,United States,1739497724.0,1739497724,-115.8849,32.7148,6751.32,False,159.98,263.54,-11.05,,6911.34,2675.0,False,0,2025-02-13 20:48:50
7c6b39,JST707  ,Australia,1739497724.0,1739497724,144.8016,-38.0372,4229.1,False,214.56,158.48,10.4,,4282.44,7220.0,False,0,2025-02-13 20:48:50
7c6b38,JST293  ,Australia,1739497724.0,1739497724,174.5562,-37.4166,5440.68,False,194.22,202.42,9.1,,5669.28,5604.0,False,0,2025-02-13 20:48:50
7c6b37,JST260  ,Australia,1739497717.0,1739497724,174.8061,-38.1895,7299.96,False,217.61,359.86,-11.05,,7597.14,5575.0,False,0,2025-02-13 20:48:50
7c6b35,JST759  ,Australia,1739497723.0,1739497724,152.9853,-27.952,5593.08,False,208.83,201.38,8.45,,5852.16,,False,0,2025-02-13 20:48:50
a665c5,GJS4463 ,United States,1739497724.0,1739497724,-78.1876,41.2195,7528.56,False,278.8,98.49,-9.1,,7299.96,3527.0,False,0,2025-02-13 20:48:50
acdfa3,ASA428  ,United States,1739497724.0,1739497724,-122.0858,46.823,4770.12,False,198.48,162.03,11.05,,4526.28,,False,0,2025-02-13 20:48:50
a3a575,JBU918  ,United States,1739497707.0,1739497708,-71.016,42.3599,,True,5.66,19.69,,,,1701.0,False,0,2025-02-13 20:48:50
a3a578,VJA334  ,United States,1739497724.0,1739497724,-111.9526,40.6061,13723.62,False,226.95,178.44,-0.98,,13632.18,,False,0,2025-02-13 20:48:50
ad3c16,AAL3020 ,United States,1739497723.0,1739497724,-83.1072,41.2692,10972.8,False,186.02,275.4,-0.33,,10744.2,3077.0,False,0,2025-02-13 20:48:50
7c6b19,JST893  ,Australia,1739497723.0,1739497724,153.5564,-27.9596,1181.1,False,117.48,183.26,-2.6,,1211.58,2537.0,False,0,2025-02-13 20:48:50
801616,IGO1272 ,India,1739497472.0,1739497483,76.3716,10.1501,99.06,False,68.98,87.86,-3.25,,7.62,3542.0,False,0,2025-02-13 20:48:50
7c6b0d,JST832  ,Australia,1739497473.0,1739497473,145.2976,-33.6237,10370.82,False,208.12,340.36,0.0,,10843.26,1311.0,False,0,2025-02-13 20:48:50
801615,AXB2870 ,India,1739497606.0,1739497701,77.7971,13.4628,3352.8,False,184.29,9.8,10.4,,3512.82,1000.0,False,0,2025-02-13 20:48:50
a10e98,N1674E  ,United States,1739497653.0,1739497653,-96.8072,44.3036,,True,2.06,199.69,,,,,False,0,2025-02-13 20:48:50
7c6b0b,JST171  ,Australia,1739497628.0,1739497628,148.8005,-39.158,10668.0,False,260.43,111.19,0.33,,11026.14,1564.0,False,0,2025-02-13 20:48:50
a52bcf,GRYONE  ,United States,1739497719.0,1739497723,-73.9045,41.1364,586.74,False,73.41,174.37,2.6,,541.02,4322.0,False,0,2025-02-13 20:48:50
abacb6,SCX349  ,United States,1739497724.0,1739497724,-82.2042,30.0368,7924.8,False,218.71,170.25,0.0,,8336.28,7031.0,False,0,2025-02-13 20:48:50
a305e2,N294RW  ,United States,1739497724.0,1739497724,-90.8785,42.3065,998.22,False,60.05,153.0,-1.63,,1043.94,1243.0,False,0,2025-02-13 20:48:50
801619,IGO2173 ,India,1739497714.0,1739497718,74.2991,18.3825,11285.22,False,240.83,11.33,0.0,,11932.92,1125.0,False,0,2025-02-13 20:48:50
ac96be,AAL3065 ,United States,1739497723.0,1739497724,-76.5563,36.3575,9753.6,False,179.47,197.34,-0.33,,10027.92,1074.0,False,0,2025-02-13 20:48:50
ad4f52,N957GV  ,United States,1739497710.0,1739497714,-80.6423,25.7284,419.1,False,56.98,263.26,0.0,,495.3,1200.0,False,0,2025-02-13 20:48:50
801623,AXB2417 ,India,1739497705.0,1739497705,77.8274,13.8043,4777.74,False,178.21,10.14,6.83,,4983.48,7233.0,False,0,2025-02-13 20:48:50
801621,IGO501  ,India,1739497724.0,1739497724,86.8703,26.2244,11277.6,False,284.01,96.97,0.0,,11635.74,554.0,False,0,2025-02-13 20:48:50
801622,IGO1414 ,India,1739497723.0,1739497724,72.0965,18.4528,7749.54,False,191.65,63.02,-11.38,,8168.64,3437.0,False,0,2025-02-13 20:48:50
aa69db,ENY3621 ,United States,1739497723.0,1739497724,-87.156,40.071,8839.2,False,247.98,160.36,0.33,,8709.66,7666.0,False,0,2025-02-13 20:48:50
c01aa6,CJT462  ,Canada,1739497452.0,1739497455,-113.6761,53.3543,1150.62,False,63.3,135.0,-3.9,,1104.9,613.0,False,0,2025-02-13 20:48:50
a438f1,EJA371  ,United States,1739497724.0,1739497724,-84.443,41.0948,12496.8,False,269.78,75.2,0.0,,12336.78,1777.0,False,0,2025-02-13 20:48:50
7c6b28,JST952  ,Australia,1739497724.0,1739497724,149.5446,-30.9643,10370.82,False,237.88,340.55,0.65,,10972.8,1372.0,False,0,2025-02-13 20:48:50
abc6c1,N858TH  ,United States,1739497438.0,1739497440,-77.7283,32.2209,13106.4,False,235.64,190.06,0.0,,13548.36,1022.0,False,0,2025-02-13 20:48:50
a21b44,MXY786  ,United States,1739497723.0,1739497724,-81.8509,36.6755,10972.8,False,189.97,182.17,0.0,,11170.92,2162.0,False,0,2025-02-13 20:48:50
aa8c10,SKW5917 ,United States,1739497723.0,1739497723,-100.2571,31.6351,10972.8,False,203.04,303.53,-0.33,,11308.08,7240.0,False,0,2025-02-13 20:48:50
aa56b6,UAL755  ,United States,1739497724.0,1739497724,-77.5769,38.7719,1447.8,False,117.86,181.75,-7.8,,1455.42,2175.0,False,0,2025-02-13 20:48:50
aa56b5,UAL1788 ,United States,1739497724.0,1739497724,-77.6601,38.9551,1744.98,False,159.93,99.07,0.0,,1737.36,7412.0,False,0,2025-02-13 20:48:50
a46e40,DAL1252 ,United States,1739497407.0,1739497430,-112.728,38.29,8549.64,False,197.75,209.97,-0.65,,8572.5,,False,0,2025-02-13 20:48:50
ad4f2a,CFS7804 ,United States,1739497724.0,1739497724,-117.601,47.5763,1165.86,False,59.66,45.7,-3.25,,1028.7,,False,0,2025-02-13 20:48:50
ad5623,AAL3045 ,United States,1739497724.0,1739497724,-87.1673,41.9853,2636.52,False,124.88,276.86,-8.78,,2583.18,5757.0,False,0,2025-02-13 20:48:50
ac231d,FDY129  ,United States,1739497723.0,1739497724,-78.2444,40.1698,2964.18,False,68.57,334.2,0.0,,2872.74,,False,0,2025-02-13 20:48:50
aa56b3,UAL1869 ,United States,1739497723.0,1739497723,-96.3541,29.7921,8534.4,False,196.22,274.96,0.0,,8892.54,3775.0,False,0,2025-02-13 20:48:50
a6fe1f,JKA55   ,United States,1739497723.0,1739497723,-95.2519,32.2722,929.64,False,50.45,78.23,0.33,,1005.84,,False,0,2025-02-13 20:48:50
aad000,N796TH  ,United States,1739497723.0,1739497723,-87.6744,30.4309,1196.34,False,37.68,4.7,2.93,,1303.02,,False,0,2025-02-13 20:48:50
440daf,,Austria,1739497713.0,1739497714,13.4829,52.3581,,True,0.06,247.5,,,,,False,0,2025-02-13 20:48:50
a1c5e0,ENY3380 ,United States,1739497724.0,1739497724,-112.782,34.8713,8221.98,False,204.89,124.05,-0.33,,8336.28,6162.0,False,0,2025-02-13 20:48:50
88045a,AIQ4403 ,Thailand,1739497723.0,1739497723,100.0824,10.5136,9448.8,False,229.22,14.69,0.0,,10081.26,,False,0,2025-02-13 20:48:50
801629,IGO7418 ,India,1739497724.0,1739497724,90.2339,23.1628,3345.18,False,153.15,73.21,0.0,,3398.52,1376.0,False,0,2025-02-13 20:48:50
a0e250,AAL1904 ,United States,1739497724.0,1739497724,-80.4612,35.7783,3779.52,False,133.41,213.2,-5.85,,3863.34,2123.0,False,0,2025-02-13 20:48:50
a2ded8,SWA3795 ,United States,1739497724.0,1739497724,-80.3477,35.677,9144.0,False,179.4,257.92,0.0,,9387.84,2460.0,False,0,2025-02-13 20:48:50
a4b234,WIS901  ,United States,1739497724.0,1739497724,-88.3803,43.8034,1432.56,False,115.59,157.77,-0.33,,1417.32,,False,0,2025-02-13 20:48:50
c822e4,ANZ1282 ,New Zealand,1739497724.0,1739497724,172.473,-43.578,11887.2,False,227.55,22.04,0.0,,12382.5,5602.0,False,0,2025-02-13 20:48:50
7c6b17,JST236  ,Australia,1739497724.0,1739497724,173.9996,-40.5547,11277.6,False,221.65,19.95,0.0,,11666.22,5551.0,False,0,2025-02-13 20:48:50
80161e,AKJ117C ,India,1739497689.0,1739497696,72.8575,19.0887,,True,24.18,278.44,,,,1470.0,False,0,2025-02-13 20:48:50
ac83b4,N905WA  ,United States,1739497724.0,1739497724,-80.2395,27.1637,213.36,False,39.08,290.82,-0.65,,327.66,4504.0,False,0,2025-02-13 20:48:50
4952af,TAP072  ,Portugal,1739497709.0,1739497709,-42.8081,-22.1727,4892.04,False,178.45,15.04,4.55,,5181.6,,False,0,2025-02-13 20:48:50
80166a,AKJ137K ,India,1739497723.0,1739497723,89.8272,25.154,10591.8,False,252.6,57.48,-6.83,,10972.8,2703.0,False,0,2025-02-13 20:48:50
adeca5,AAL2496 ,United States,1739497723.0,1739497724,-98.9736,34.0837,7467.6,False,209.69,127.12,-5.2,,7680.96,6642.0,False,0,2025-02-13 20:48:50
aad012,UAL933  ,United States,1739497724.0,1739497724,-77.4374,38.8716,335.28,False,64.83,0.91,-3.58,,396.24,1126.0,False,0,2025-02-13 20:48:50
ae0cb5,R8423992,United States,1739497723.0,1739497723,-85.8214,37.9785,243.84,False,7.65,227.73,-0.98,,419.1,,False,0,2025-02-13 20:48:50
c822ed,ANZ113M ,New Zealand,1739497627.0,1739497627,175.5933,-40.3199,22.86,False,56.59,90.0,-3.25,,152.4,5521.0,False,0,2025-02-13 20:48:50
ae6303,HAWK292 ,United States,1739497724.0,1739497724,-97.8199,27.4746,0.0,False,66.52,93.99,-4.88,,114.3,,False,0,2025-02-13 20:48:50
ae6304,LTHL289 ,United States,1739497724.0,1739497724,-97.8087,27.5127,,True,14.92,357.19,,,,,False,0,2025-02-13 20:48:50
88040c,HMB525  ,Thailand,1739497714.0,1739497719,100.9877,13.4145,182.88,False,46.86,182.52,-2.28,,167.64,,False,0,2025-02-13 20:48:50
ad4f72,JBU2710 ,United States,1739497723.0,1739497723,-73.602,40.2056,1569.72,False,128.78,40.63,-8.45,,1524.0,1516.0,False,0,2025-02-13 20:48:50
801686,AXB1065 ,India,1739497724.0,1739497724,89.4591,22.9418,6621.78,False,217.71,72.68,10.73,,6865.62,1471.0,False,0,2025-02-13 20:48:50
a47597,DAL2803 ,United States,1739497724.0,1739497724,-84.8767,33.2898,3787.14,False,206.91,48.02,-13.33,,3939.54,7320.0,False,0,2025-02-13 20:48:50
e49445,AZU4662 ,Brazil,1739497716.0,1739497717,-45.728,-22.1744,10035.54,False,219.26,38.62,6.18,,10660.38,,False,0,2025-02-13 20:48:50
4bc8c5,PGT13FC ,Turkey,1739497723.0,1739497724,21.0222,42.4487,2263.14,False,117.23,196.05,15.93,,2308.86,1302.0,False,0,2025-02-13 20:48:50
e80259,LPE2441 ,Chile,1739497723.0,1739497724,-75.7635,-6.7355,10980.42,False,237.26,162.98,0.33,,11734.8,,False,0,2025-02-13 20:48:50
4bc8c3,PGT407  ,Turkey,1739497723.0,1739497723,49.1959,28.2991,9761.22,False,219.1,321.0,0.0,,10027.92,,False,0,2025-02-13 20:48:50
e80258,LPE2375 ,Chile,1739497707.0,1739497722,-77.0817,-12.9085,6720.84,False,212.49,163.98,5.2,,,,False,0,2025-02-13 20:48:50
ab0361,AAL889  ,United States,1739497724.0,1739497724,-83.3526,35.8323,9753.6,False,180.78,238.62,0.0,,9959.34,1154.0,False,0,2025-02-13 20:48:50
80167e,AIC871  ,India,1739497717.0,1739497722,73.5342,19.613,7025.64,False,197.38,187.94,-4.88,,7391.4,532.0,False,0,2025-02-13 20:48:50
80167b,AIC2828 ,India,1739497445.0,1739497448,77.5869,15.2842,10370.82,False,237.15,303.14,0.0,,10965.18,224.0,False,0,2025-02-13 20:48:50
7c6b5a,VHO     ,Australia,1739497724.0,1739497724,150.7379,-33.8042,2194.56,False,76.9,4.6,0.33,,2240.28,1440.0,False,0,2025-02-13 20:48:50
a2229c,N237BB  ,United States,1739497723.0,1739497723,-97.1199,32.3946,1402.08,False,134.91,73.15,-5.2,,1485.9,7334.0,False,0,2025-02-13 20:48:50
a17718,N194AS  ,United States,1739497718.0,1739497723,-100.5229,31.3241,716.28,False,35.08,94.21,-0.65,,807.72,,False,0,2025-02-13 20:48:50
ae26ad,C6587   ,United States,1739497723.0,1739497723,-123.4006,48.1252,167.64,False,0.0,0.0,0.0,,0.0,,False,0,2025-02-13 20:48:50
ae1fd0,72335   ,United States,1739497616.0,1739497616,-85.8302,31.2089,838.2,False,39.94,7.4,-2.93,,1196.34,,False,0,2025-02-13 20:48:50
a2d2eb,ENY3648 ,United States,1739497724.0,1739497724,-87.8172,41.8355,1645.92,False,138.16,172.08,9.75,,1668.78,1377.0,False,0,2025-02-13 20:48:50
e80260,LPE2155 ,Chile,1739497428.0,1739497429,-80.0404,-7.0075,10957.56,False,229.38,333.49,-0.33,,11673.84,1751.0,False,0,2025-02-13 20:48:50
a5f808,LXJ484  ,United States,1739497724.0,1739497724,-73.5967,41.0973,1203.96,False,131.96,162.77,-0.65,,1150.62,1121.0,False,0,2025-02-13 20:48:50
511170,MBU2AT  ,Estonia,1739497724.0,1739497724,9.4103,48.4004,8595.36,False,236.05,51.28,-7.48,,8397.24,2246.0,False,0,2025-02-13 20:48:50
e80267,LPE2092 ,Chile,1739497723.0,1739497724,-77.1427,-9.8921,10668.0,False,241.68,193.92,-11.38,,11414.76,1603.0,False,0,2025-02-13 20:48:50
a8e37c,DAL2984 ,United States,1739497723.0,1739497724,-76.029,37.0332,541.02,False,87.48,302.76,-0.33,,563.88,5604.0,True,0,2025-02-13 20:48:50
ac83d5,EDV5206 ,United States,1739497724.0,1739497724,-74.0349,40.6248,1341.12,False,113.44,38.74,-3.9,,1295.4,755.0,False,0,2025-02-13 20:48:50
a58e1e,SWA866  ,United States,1739497690.0,1739497690,-121.9201,37.3591,,True,2.06,137.81,,,,,False,0,2025-02-13 20:48:50
ac101f,SWA1561 ,United States,1739497724.0,1739497724,-111.886,33.1763,3048.0,False,140.69,308.17,-7.48,,3124.2,2725.0,False,0,2025-02-13 20:48:50
80164c,IGO1808 ,India,1739497721.0,1739497721,77.1205,28.5698,259.08,False,65.35,271.35,-3.25,,220.98,,False,0,2025-02-13 20:48:50
a35592,JBU906  ,United States,1739497724.0,1739497724,-83.6864,42.2092,11132.82,False,282.21,81.83,2.6,,10835.64,6504.0,False,0,2025-02-13 20:48:50
a2d2da,N281MW  ,United States,1739497724.0,1739497724,-88.4564,33.5544,12192.0,False,199.49,308.61,0.0,,12519.66,761.0,False,0,2025-02-13 20:48:50
acdffc,DAL1835 ,United States,1739497724.0,1739497724,-83.892,33.9168,10972.8,False,234.28,342.36,-0.33,,11323.32,3161.0,False,0,2025-02-13 20:48:50
e4941c,AZU8705 ,Brazil,1739497724.0,1739497724,-68.4396,19.4932,11277.6,False,266.12,127.93,0.0,,11902.44,,False,0,2025-02-13 20:48:50
ad90a3,AAL2428 ,United States,1739497724.0,1739497724,-93.1353,37.3257,8831.58,False,257.28,100.95,0.0,,8938.26,3767.0,False,0,2025-02-13 20:48:50
ac70ab,N900RH  ,United States,1739497451.0,1739497454,-82.2078,26.4073,1866.9,False,141.57,147.46,-9.43,,2042.16,1632.0,False,0,2025-02-13 20:48:50
471efd,WZZ307  ,Hungary,1739497724.0,1739497724,26.354,40.1832,10668.0,False,251.08,131.59,0.0,,10553.7,6011.0,False,0,2025-02-13 20:48:50
a963ea,N704FC  ,United States,1739497534.0,1739497534,-112.0067,41.1972,,True,3.6,126.56,,,,,False,0,2025-02-13 20:48:50
ac3688,SWA383  ,United States,1739497724.0,1739497724,-113.8636,36.6492,7246.62,False,187.07,216.05,-4.55,,7292.34,5725.0,False,0,2025-02-13 20:48:50
801667,AIC333  ,India,1739497545.0,1739497545,100.7453,13.6944,,True,1.03,101.25,,,,,False,0,2025-02-13 20:48:50
801665,AIC106  ,India,1739497201.0,1739497719,59.5518,56.9631,37581.84,False,268.36,118.14,0.0,,11323.32,253.0,True,0,2025-02-13 20:48:50
abb3d5,PDU53   ,United States,1739497723.0,1739497723,-86.5664,39.2422,899.16,False,51.68,22.23,0.0,,967.74,4263.0,False,0,2025-02-13 20:48:50
4b185d,SWW2X   ,Switzerland,1739497724.0,1739497724,139.4159,-35.5354,5707.38,False,141.18,307.75,-6.5,,5791.2,3243.0,False,0,2025-02-13 20:48:50
ad9cd9,N9764F  ,United States,1739497723.0,1739497723,-80.5621,26.0145,487.68,False,32.04,264.47,-1.95,,594.36,1764.0,False,0,2025-02-13 20:48:50
e8026f,LPE2393 ,Chile,1739497724.0,1739497724,-77.8834,-9.7221,9570.72,False,255.43,194.82,-5.2,,10271.76,1447.0,False,0,2025-02-13 20:48:50
80165c,AXB1151 ,India,1739497723.0,1739497723,84.2419,21.7432,11277.6,False,249.2,135.75,0.0,,11856.72,540.0,False,0,2025-02-13 20:48:50
a3a541,CXK491  ,United States,1739497723.0,1739497723,-82.7313,34.4713,990.6,False,61.55,73.99,-5.53,,1043.94,,False,0,2025-02-13 20:48:50
aae377,SKW4033 ,United States,1739497703.0,1739497703,-84.4299,33.6418,,True,0.39,87.19,,,,6501.0,False,0,2025-02-13 20:48:50
e8026a,LPE2453 ,Chile,1739497717.0,1739497724,-78.0461,-9.4863,10698.48,False,214.8,177.12,-2.28,,11430.0,4042.0,False,0,2025-02-13 20:48:50
ace6e2,AAL2034 ,United States,1739497723.0,1739497723,-78.5746,37.7554,9144.0,False,172.45,225.97,0.0,,9281.16,1002.0,False,0,2025-02-13 20:48:50
4b1865,HUE999  ,Switzerland,1739497722.0,1739497722,-74.6234,41.5361,2164.08,False,155.07,169.1,-3.25,,2095.5,717.0,False,0,2025-02-13 20:48:50
a34e97,DAL1329 ,United States,1739497630.0,1739497638,-75.1997,39.8799,60.96,False,67.77,254.59,-4.23,,99.06,7246.0,False,0,2025-02-13 20:48:50
ae6310,BLZR240 ,United States,1739497723.0,1739497723,-97.8368,27.3356,0.0,False,144.43,45.72,-0.98,,960.12,,False,0,2025-02-13 20:48:50
a3556f,JBU291  ,United States,1739497723.0,1739497724,-78.7605,37.3721,8534.4,False,174.91,216.87,0.0,,8694.42,3417.0,False,0,2025-02-13 20:48:50
ac1042,SWA2098 ,United States,1739497724.0,1739497724,-100.8799,33.7786,9144.0,False,215.22,282.14,0.0,,9387.84,2257.0,False,0,2025-02-13 20:48:50
adffcf,BOXER48 ,United States,1739497723.0,1739497724,-100.227,29.796,2941.32,False,143.51,227.91,0.0,,3070.86,,False,0,2025-02-13 20:48:50
a46e6a,,United States,1739497696.0,1739497696,-81.8488,41.4079,,True,0.06,320.62,,,,,False,0,2025-02-13 20:48:50
ad4f86,JSX203  ,United States,1739497723.0,1739497723,-115.1672,36.0836,,True,8.75,191.25,,,,,False,0,2025-02-13 20:48:50
801673,AXB1455 ,India,1739497723.0,1739497723,77.7519,13.3769,11277.6,False,230.03,198.52,0.0,,11925.3,1000.0,False,0,2025-02-13 20:48:50
abf025,SWA4120 ,United States,1739497724.0,1739497724,-93.0933,41.4544,10980.42,False,188.01,260.07,0.0,,10797.54,1316.0,False,0,2025-02-13 20:48:50
a5e507,N4791C  ,United States,1739497723.0,1739497723,-94.3418,36.3193,1668.78,False,85.62,302.74,-0.33,,1729.74,,False,0,2025-02-13 20:48:50
801676,VTHLY   ,India,1739497719.0,1739497724,72.1128,19.2133,,True,0.0,345.94,,,,,False,0,2025-02-13 20:48:50
a4c527,RPA4744 ,United States,1739497723.0,1739497723,-95.0431,36.4129,9060.18,False,247.5,70.32,3.9,,9212.58,3455.0,False,0,2025-02-13 20:48:50
a2cbdb,N28CG   ,United States,1739497724.0,1739497724,-76.4558,41.7681,5669.28,False,204.95,130.93,10.08,,5417.82,,False,0,2025-02-13 20:48:50
ae630a,BLZR299 ,United States,1739497723.0,1739497723,-97.966,27.1893,838.2,False,130.08,38.09,-9.43,,944.88,,False,0,2025-02-13 20:48:50
801671,AIC485  ,India,1739497721.0,1739497721,85.9594,18.6559,10668.0,False,246.48,140.0,0.0,,11269.98,,False,0,2025-02-13 20:48:50
a94b51,UAL1510 ,United States,1739497723.0,1739497723,-97.6495,40.9234,10668.0,False,262.26,80.63,0.0,,10622.28,2716.0,False,0,2025-02-13 20:48:50
c01b6c,JZA111  ,Canada,1739497703.0,1739497703,-90.7088,49.2133,10972.8,False,198.77,277.58,0.65,,10271.76,,False,0,2025-02-13 20:48:50
a0441d,N116SR  ,United States,1739497720.0,1739497720,-81.6063,33.1122,152.4,False,53.84,45.0,0.33,,236.22,3450.0,False,0,2025-02-13 20:48:50
aa8075,ENY3717 ,United States,1739497721.0,1739497721,-87.9092,41.9829,,True,2.57,90.0,,,,2411.0,False,0,2025-02-13 20:48:50
861f3c,ANA20   ,Japan,1739497723.0,1739497724,139.7974,34.8848,3802.38,False,157.37,63.6,-2.28,,3756.66,3454.0,False,0,2025-02-13 20:48:50
